City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
262,kardailovo,51.5386,53.9042,2.44,100,89,6.2,RU,1675999241
263,adrar,20.5022,-10.0711,68.27,21,100,13.13,MR,1675999241
264,beloha,-25.1667,45.05,73.69,81,18,5.53,MG,1675999241
265,kahului,20.8947,-156.47,77.02,68,40,14.97,US,1675999214
266,cabedelo,-6.9811,-34.8339,77.67,81,34,10.94,BR,1675998943
267,koson,39.0375,65.585,25.12,48,93,8.14,UZ,1675999242
268,senneterre,48.3835,-77.2328,29.5,95,100,10.11,CA,1675999242
269,contramaestre,20.2978,-76.2414,69.98,87,0,3.71,CU,1675999243
270,boca do acre,-8.7522,-67.3978,73.02,93,87,0.65,BR,1675999243
271,ambon,-3.6954,128.1814,89.74,62,40,8.05,ID,1675999244
272,sola,-13.8833,167.55,82.49,73,47,12.97,VU,1675999244
273,aripuana,-9.1667,-60.6333,71.46,99,83,2.51,BR,1675999244
274,salalah,17.0151,54.0924,75.29,27,0,13.8,OM,1675999245
275,airai,-8.9266,125.4092,66.58,82,100,4.74,TL,1675999245
276,plainview,40.7765,-73.4673,55.26,86,100,16.11,US,1675999245
277,middelburg,-25.7751,29.4648,60.98,94,100,4.74,ZA,1675999246
278,khatanga,71.9667,102.5,-48.48,99,42,4.27,RU,1675999246
279,haines junction,60.7522,-137.5108,13.95,79,100,3.44,CA,1675999247
280,hambantota,6.1241,81.1185,77.52,75,62,11.56,LK,1675999114
281,artur nogueira,-22.5731,-47.1725,73.51,89,0,2.95,BR,1675999247
282,hamina,60.5697,27.1979,33.08,96,100,23.09,FI,1675999130
283,talcahuano,-36.7167,-73.1167,65.88,72,0,10.36,CL,1675999248
284,daru,-9.0763,143.2092,79.02,85,100,9.82,PG,1675999248
285,clonakilty,51.6231,-8.8706,42.01,97,100,11.01,IE,1675999248
286,alta floresta,-9.8756,-56.0861,70.86,96,100,2.26,BR,1675999249
287,erenhot,43.6475,111.9767,27.0,60,62,14.92,CN,1675999249
288,padang,-0.9492,100.3543,82.45,75,100,3.4,ID,1675999249
289,pingzhuang,42.0372,119.2889,32.2,51,0,3.65,CN,1675999250
290,kutum,14.2,24.6667,57.65,16,98,7.52,SD,1675999250
291,litovko,49.2361,135.1742,1.31,90,100,1.77,RU,1675999251
292,mashhad,36.297,59.6062,28.54,93,100,16.11,IR,1675999160
293,nyaunglebin,17.95,96.7333,80.26,19,100,1.34,MM,1675999251
294,reguengos de monsaraz,38.4253,-7.5349,42.03,75,9,7.67,PT,1675999251
295,te anau,-45.4167,167.7167,66.04,38,37,2.21,NZ,1675999252
296,harper,4.375,-7.7169,78.89,84,41,4.92,LR,1675999252
297,lahij,13.1667,44.5833,68.13,91,0,2.13,YE,1675999252
298,aquiraz,-3.9014,-38.3911,81.18,83,100,7.58,BR,1675999253
299,maningrida,-12.0667,134.2667,87.46,68,98,5.19,AU,1675999253
300,mantua,45.1667,10.7833,25.84,66,0,5.82,IT,1675999253
301,muravlenko,63.7898,74.523,0.43,98,100,11.88,RU,1675999254
302,byron bay,-28.65,153.6167,83.71,54,1,12.68,AU,1675999124
303,kondopoga,62.2057,34.2614,28.08,89,100,11.61,RU,1675999254
304,betafo,-19.8333,46.85,58.24,94,95,4.5,MG,1675999255
305,chumikan,54.7183,135.315,-6.03,81,4,14.56,RU,1675999255
306,san juan,-31.5375,-68.5364,87.22,37,1,1.52,AR,1675998980
307,skibbereen,51.55,-9.2667,46.11,99,100,10.58,IE,1675999255
308,marsh harbour,26.5412,-77.0636,73.67,66,0,15.14,BS,1675999256
309,lebu,-37.6167,-73.65,58.93,95,3,5.39,CL,1675999256
310,wucheng,29.6008,118.175,49.42,87,100,3.65,CN,1675999256
311,salinopolis,-0.6136,-47.3561,78.03,86,23,8.41,BR,1675999257
312,sungairaya,0.7,108.9,85.68,64,71,2.95,ID,1675999257
313,saint-francois,46.4154,3.9054,20.68,93,9,3.44,FR,1675999257
314,rudiskes,54.5167,24.8333,26.1,75,98,11.61,LT,1675999258
315,kavaratti,10.5669,72.642,79.95,75,100,8.55,IN,1675999258
316,salvacion,7.9833,126.1333,80.78,79,80,4.38,PH,1675999258
317,talara,-4.5772,-81.2719,76.3,81,83,4.65,PE,1675999259
318,bom jesus do galho,-19.8289,-42.3161,68.59,93,100,2.73,BR,1675999259
319,bandar-e lengeh,26.5579,54.8807,59.11,36,0,9.22,IR,1675999259
320,mildura,-34.2,142.15,102.07,16,0,24.63,AU,1675999260
321,fortuna,40.5982,-124.1573,49.12,72,0,0.0,US,1675999260
322,nakatsu,33.5981,131.1883,47.17,96,100,11.21,JP,1675999260
323,siilinjarvi,63.0833,27.6667,32.02,86,100,12.66,FI,1675999261
324,tiznit,29.5833,-9.5,59.67,22,100,16.96,MA,1675999261
325,tibacuy,4.3511,-72.4564,81.91,53,63,6.06,CO,1675999261
326,shubarkuduk,49.1447,56.4872,1.11,98,90,6.31,KZ,1675999262
327,pacaembu,-21.5622,-51.2606,73.49,83,16,5.61,BR,1675999262
328,deputatskiy,69.3,139.9,-40.4,98,85,3.38,RU,1675999263
329,kamyzyak,46.11,48.0736,4.98,92,87,2.24,RU,1675999264
330,ouahigouya,13.5828,-2.4216,74.07,11,0,10.31,BF,1675998996
331,ericeira,38.9627,-9.4156,52.77,69,0,18.97,PT,1675999264
332,husavik,66.0449,-17.3389,21.0,70,100,13.18,IS,1675999264
333,victoria,22.2855,114.1577,72.97,87,91,3.0,HK,1675999203
334,bintulu,3.1667,113.0333,81.01,83,40,5.75,MY,1675999265
335,banda aceh,5.5577,95.3222,82.54,73,23,8.97,ID,1675999265
336,gunjur,13.2019,-16.7339,68.07,77,19,6.91,GM,1675999266
